lastName	yearOfBirth	yearOfDeath	fullName	job	location	yearPostingStart	yearPostingEnd	notes
ALISON	1810	1872	ALISON, CHARLES, C.B.	Secretary of Embassy	Turkey	1857	1860	
ALISON	1810	1872	ALISON, CHARLES, C.B.	Minister	Persia	1860	1872	
ALLAN	1951		ALLAN, Hon. SIR ALEXANDER C.S., K.C.B.	Principal Private Secretary	Chancellor of the Exchequer	1986	1989	
ALLAN	1951		ALLAN, Hon. SIR ALEXANDER C.S., K.C.B.	Assistant Under-Secretary	Treasury	1989	1992	
ALLAN	1951		ALLAN, Hon. SIR ALEXANDER C.S., K.C.B.	Principal Private Secretary	Prime Minister	1992	1997	
ALLAN	1951		ALLAN, Hon. SIR ALEXANDER C.S., K.C.B.	High Commissioner	Australia	1997	1999	
ALLAN	1951		ALLAN, Hon. SIR ALEXANDER C.S., K.C.B.	Permanent Secretary	Department for Constitutional Affairs	2004	2007	
ALLAN	1951		ALLAN, Hon. SIR ALEXANDER C.S., K.C.B.	Chairman of Joint Intelligence Committee		2007	2011	
ALLAN			ALLAN, CHRISTOPHER	Head of South Asia Group	Foreign and Commonwealth Office	2009	2010	
ALLAN			ALLAN, CHRISTOPHER	Ambassador	Uzbekistan	2015		
ALLAN	1932		ALLAN, JAMES N., C.M.G., C.B.E.	Head of Overseas Information Department	Foreign and Commonwealth Office	1978	1981	
ALLAN	1932		ALLAN, JAMES N., C.M.G., C.B.E.	High Commissioner	Mauritius	1981	1985	
ALLAN	1932		ALLAN, JAMES N., C.M.G., C.B.E.	Ambassador	Mozambique	1986	1989	
ALLAN	1932		ALLAN, JAMES N., C.M.G., C.B.E.	Senior Civilian Instructor	Royal College of Defence Studies	1989	1992	
ALLAN	1968		ALLAN, KEITH R.	Deputy High Commissioner	Trinidad and Tobago	2003	2006	
ALLAN	1968		ALLAN, KEITH R.	Ambassador	Turkmenistan	2010	2013	
ALLAN	1968		ALLAN, KEITH R.	Consul-General	St. Petersburg	2013	2017	
ALLAN	1968		ALLAN, KEITH R.	High Commissioner	Mauritius	2017		
ALLCHIN	1895	1968	ALLCHIN, SIR GEOFFREY C., K.B.E., C.M.G., M.C.	Head of Consular Department	Foreign Office	1943	1947	
ALLCHIN	1895	1968	ALLCHIN, SIR GEOFFREY C., K.B.E., C.M.G., M.C.	Inspector-General		1947	1949	
ALLCHIN	1895	1968	ALLCHIN, SIR GEOFFREY C., K.B.E., C.M.G., M.C.	Minister/Ambassador	Luxemburg	1949	1955	
ALLEN	1930	2007	ALLEN, DONALD G., C.M.G.	Counsellor and Head of Chancery	U.K. Delegation to the O.E.C.D.	1974	1978	
ALLEN	1930	2007	ALLEN, DONALD G., C.M.G.	Home Inspector		1978	1980	
ALLEN	1974		ALLEN, JONATHAN G.	Ambassador	Bulgaria	2012	2015	
ALLEN	1974		ALLEN, JONATHAN G.	Director, National Security, Foreign and Commonwealth Office		2015	2017	
ALLEN	1974		ALLEN, JONATHAN G.	Ambassador and Deputy Permanent Representative to the U.N.O.	New York	2017		
ALLEN	1917	2003	ALLEN, MARK E., C.M.G., C.V.O.	Head of Defence Department	Commonwealth Relations Department	1956	1957	
ALLEN	1917	2003	ALLEN, MARK E., C.M.G., C.V.O.	Head of Ghana Department	Commonwealth Relations Office	1957	1960	
ALLEN	1917	2003	ALLEN, MARK E., C.M.G., C.V.O.	Deputy High Commissioner	India	1960	1961	
ALLEN	1917	2003	ALLEN, MARK E., C.M.G., C.V.O.	Counsellor	India	1961	1963	
ALLEN	1917	2003	ALLEN, MARK E., C.M.G., C.V.O.	Inspector		1964	1966	
ALLEN	1917	2003	ALLEN, MARK E., C.M.G., C.V.O.	Assistant Under-Secretary for Foreign and Commonwealth Affairs and Deputy Chief of Administration		1966	1968	
ALLEN	1917	2003	ALLEN, MARK E., C.M.G., C.V.O.	Minister (Economic and Social), U.K. Delegation to the United Nations Organization, New York		1968	1971	
ALLEN	1917	2003	ALLEN, MARK E., C.M.G., C.V.O.	Ambassador to Zaire and Burundi, 1971-1974, and to Congo		1973	1974	
ALLEN	1917	2003	ALLEN, MARK E., C.M.G., C.V.O.	Permanent U.K. Representative	Disarmament Conference	1974	1977	
ALLEN	1903	1996	ALLEN, SIR RICHARD H.S., K.C.M.G.	Head of South-East Asia Department	Foreign Office	1946	1947	
ALLEN	1903	1996	ALLEN, SIR RICHARD H.S., K.C.M.G.	Counsellor, Embassy	Poland	1948	1950	
ALLEN	1903	1996	ALLEN, SIR RICHARD H.S., K.C.M.G.	Minister	Argentina	1950	1954	
ALLEN	1903	1996	ALLEN, SIR RICHARD H.S., K.C.M.G.	Minister	Guatemala	1954	1956	
ALLEN	1903	1996	ALLEN, SIR RICHARD H.S., K.C.M.G.	Ambassador	Burma	1956	1962	
ALLEN	1909	1972	ALLEN, SIR ROGER, K.C.M.G.	Head of United Nations (Political) Department	Foreign Office	1949	1950	
ALLEN	1909	1972	ALLEN, SIR ROGER, K.C.M.G.	Head of African Department	Foreign Office	1950	1953	
ALLEN	1909	1972	ALLEN, SIR ROGER, K.C.M.G.	Assistant Under-Secretary for Foreign Affairs (Middle East)		1953	1954	
ALLEN	1909	1972	ALLEN, SIR ROGER, K.C.M.G.	Deputy High Commissioner/Minister	Federal Republic of Germany	1954	1956	
ALLEN	1909	1972	ALLEN, SIR ROGER, K.C.M.G.	Ambassador	Greece	1957	1961	
ALLEN	1909	1972	ALLEN, SIR ROGER, K.C.M.G.	Ambassador	Iraq	1961	1965	
ALLEN	1909	1972	ALLEN, SIR ROGER, K.C.M.G.	Deputy Under-Secretary for Foreign Affairs (Middle East and Africa)		1965	1967	
ALLEN	1909	1972	ALLEN, SIR ROGER, K.C.M.G.	Ambassador	Turkey	1967	1969	
ALLEN	1910	1987	ALLEN, SIR W. DENIS, G.C.M.G.	Counsellor, Embassy	U.S.A.	1946	1949	
ALLEN	1910	1987	ALLEN, SIR W. DENIS, G.C.M.G.	Head of German Political Department	Foreign Office	1949	1952	
ALLEN	1910	1987	ALLEN, SIR W. DENIS, G.C.M.G.	Head of Central Department	Foreign Office	1952	1953	
ALLEN	1910	1987	ALLEN, SIR W. DENIS, G.C.M.G.	Assistant Under-Secretary for Foreign Affairs (Asia)	Foreign Office	1953	1956	
ALLEN	1910	1987	ALLEN, SIR W. DENIS, G.C.M.G.	Deputy Under-Secretary for Foreign Affairs and Chief Clerk	Foreign Office	1956	1959	
ALLEN	1910	1987	ALLEN, SIR W. DENIS, G.C.M.G.	Deputy Commissioner-General for South-East Asia		1959	1963	
ALLEN	1910	1987	ALLEN, SIR W. DENIS, G.C.M.G.	Ambassador	Turkey	1963	1967	
ALLEN	1910	1987	ALLEN, SIR W. DENIS, G.C.M.G.	Deputy Under-Secretary for Foreign Affairs (Middle East	Africa and Asia/Middle East and North America)	1967	1969	
ALLINSON	1926		ALLINSON, SIR W. LEONARD, K.C.V.O., C.M.G.	Head of Permanent Under-Secretary’s Department	Foreign and Commonwealth Office	1969	1970	
ALLINSON	1926		ALLINSON, SIR W. LEONARD, K.C.V.O., C.M.G.	Counsellor and Head of Chancery	Chancery, High Commission, Kenya	1970	1972	
ALLINSON	1926		ALLINSON, SIR W. LEONARD, K.C.V.O., C.M.G.	Deputy High Commissioner	Kenya	1972	1973	
ALLINSON	1926		ALLINSON, SIR W. LEONARD, K.C.V.O., C.M.G.	Inspector		1975	1975	
ALLINSON	1926		ALLINSON, SIR W. LEONARD, K.C.V.O., C.M.G.	Minister and Deputy High Commissioner	India	1975	1978	
ALLINSON	1926		ALLINSON, SIR W. LEONARD, K.C.V.O., C.M.G.	High Commissioner	Zambia	1978	1980	
ALLINSON	1926		ALLINSON, SIR W. LEONARD, K.C.V.O., C.M.G.	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Africa)		1980	1982	
ALLINSON	1926		ALLINSON, SIR W. LEONARD, K.C.V.O., C.M.G.	High Commissioner	Kenya	1982	1986	
ALMOND	1939		ALMOND, T. CLIVE, O.B.E.	Ambassador	People’s Republic of the Congo	1987	1988	
ALMOND	1939		ALMOND, T. CLIVE, O.B.E.	Consul-General	Bordeaux	1992	1998	
ALSTON	1820	1905	ALSTON, SIR FRANCIS B., K.C.M.G.	Senior Clerk, Russian Department, Foreign Office		1857	1859	
ALSTON	1820	1905	ALSTON, SIR FRANCIS B., K.C.M.G.	Senior Clerk, Asiatic and U.S.A. Department, Foreign Office		1859	1866	
ALSTON	1820	1905	ALSTON, SIR FRANCIS B., K.C.M.G.	Chief, Clerk, Foreign Office		1866	1890	
ALSTON	1868	1929	ALSTON, Rt. Hon. SIR BEILBY F., K.C.M.G., C.B.	Acting Senior Clerk, Consular Department, Foreign Office		1906	1907	
ALSTON	1868	1929	ALSTON, Rt. Hon. SIR BEILBY F., K.C.M.G., C.B.	Senior Clerk, Far East Department, Foreign Office		1907	1916	
ALSTON	1868	1929	ALSTON, Rt. Hon. SIR BEILBY F., K.C.M.G., C.B.	Acting Counsellor, Embassy	China, 1912	1913	1914	
ALSTON	1868	1929	ALSTON, Rt. Hon. SIR BEILBY F., K.C.M.G., C.B.	Acting Counsellor, Embassy	China, 1912	1916	1917	
ALSTON	1868	1929	ALSTON, Rt. Hon. SIR BEILBY F., K.C.M.G., C.B.	Minister	China	1920	1922	
ALSTON	1868	1929	ALSTON, Rt. Hon. SIR BEILBY F., K.C.M.G., C.B.	Minister	Argentina	1922	1925	
ALSTON	1868	1929	ALSTON, Rt. Hon. SIR BEILBY F., K.C.M.G., C.B.	Ambassador	Brazil	1925	1927	
ALSTON	1938		ALSTON, ROBERT J., C.M.G.	Counsellor and Head of Chancery	U.K. Delegation to N.A.T.O.	1981	1984	
ALSTON	1938		ALSTON, ROBERT J., C.M.G.	Head of Defence Department	Foreign and Commonwealth Office	1984	1986	
ALSTON	1938		ALSTON, ROBERT J., C.M.G.	Ambassador	Oman	1986	1990	
ALSTON	1938		ALSTON, ROBERT J., C.M.G.	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Public Departments)		1992	1994	
